amd64,arm64,cpu,memory,storage,networkbw,ebsbw,
i3.8xlarge,Im4gn.8xlarge,32,128,2 x 7500 AWS Nitro SSD,50,19,
i3.16xlarge,Im4gn.16xlarge,64,256,4 x 7500 AWS Nitro SSD,100,38,
m5.large,m6g.large,2,8,EBS-Only,Up to 10,"Up to 4,750",
m5.xlarge,m6g.xlarge,4,16,EBS-Only,Up to 10,"Up to 4,750",
m5.2xlarge,m6g.2xlarge,8,32,EBS-Only,Up to 10,"Up to 4,750",
m5.4xlarge,m6g.4xlarge,16,64,EBS-Only,Up to 10,"4,750",
m5.8xlarge,m6g.8xlarge,32,128,EBS-Only,12,"9,000",
m5.12xlarge,m6g.12xlarge,48,192,EBS-Only,20,"13,500",
m5.16xlarge,m6g.16xlarge,64,256,EBS-Only,25,"19,000",
m5d.large,m6gd.large,2,8,1 x 118 NVMe SSD,Up to 10,"Up to 4,750",
m5d.xlarge,m6gd.xlarge,4,16,1 x 237 NVMe SSD,Up to 10,"Up to 4,750",
m5d.2xlarge,m6gd.2xlarge,8,32,1 x 474 NVMe SSD,Up to 10,"Up to 4,750",
m5d.4xlarge,m6gd.4xlarge,16,64,1 x 950 NVMe SSD,Up to 10,"4,750",
m5d.8xlarge,m6gd.8xlarge,32,128,1 x 1900 NVMe SSD,12,"9,000",
m5d.12xlarge,m6gd.12xlarge,48,192,2 x 1425 NVMe SSD,20,"13,500",
m5d.16xlarge,m6gd.16xlarge,64,256,2 x 1900 NVMe SSD,25,"19,000",
m6i.large,m6g.large,2,8,EBS-Only,Up to 10,"Up to 4,750",
m6i.xlarge,m6g.xlarge,4,16,EBS-Only,Up to 10,"Up to 4,750",
m6i.2xlarge,m6g.2xlarge,8,32,EBS-Only,Up to 10,"Up to 4,750",
m6i.4xlarge,m6g.4xlarge,16,64,EBS-Only,Up to 10,"4,750",
m6i.8xlarge,m6g.8xlarge,32,128,EBS-Only,12,"9,000",
m6i.12xlarge,m6g.12xlarge,48,192,EBS-Only,20,"13,500",
m6i.16xlarge,m6g.16xlarge,64,256,EBS-Only,25,"19,000",
m6id.large,m6gd.large,2,8,1 x 118 NVMe SSD,Up to 10,"Up to 4,750",
m6id.xlarge,m6gd.xlarge,4,16,1 x 237 NVMe SSD,Up to 10,"Up to 4,750",
m6id.2xlarge,m6gd.2xlarge,8,32,1 x 474 NVMe SSD,Up to 10,"Up to 4,750",
m6id.4xlarge,m6gd.4xlarge,16,64,1 x 950 NVMe SSD,Up to 10,"4,750",
m6id.8xlarge,m6gd.8xlarge,32,128,1 x 1900 NVMe SSD,12,"9,000",
m6id.12xlarge,m6gd.12xlarge,48,192,2 x 1425 NVMe SSD,20,"13,500",
m6id.16xlarge,m6gd.16xlarge,64,256,2 x 1900 NVMe SSD,25,"19,000",
m6a.large,m6g.large,2,8,EBS-Only,Up to 10,"Up to 4,750",
m6a.xlarge,m6g.xlarge,4,16,EBS-Only,Up to 10,"Up to 4,750",
m6a.2xlarge,m6g.2xlarge,8,32,EBS-Only,Up to 10,"Up to 4,750",
m6a.4xlarge,m6g.4xlarge,16,64,EBS-Only,Up to 10,"4,750",
m6a.8xlarge,m6g.8xlarge,32,128,EBS-Only,12,"9,000",
m6a.12xlarge,m6g.12xlarge,48,192,EBS-Only,20,"13,500",
m6a.16xlarge,m6g.16xlarge,64,256,EBS-Only,25,"19,000",
